row,field,value,message,suggested_fix
805,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
806,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
807,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
808,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
809,store_name,JANPATH BHUBANESWAR,Store 'JANPATH BHUBANESWAR' not found,Upload store master first or correct store name
810,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
811,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
812,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
813,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
814,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
815,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
816,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
817,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
818,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
819,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
820,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
821,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
822,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
823,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
824,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
825,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
826,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
827,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
828,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
829,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
830,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
831,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
832,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
833,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
834,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
835,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
836,store_name,KANKARBAGH PATNA,Store 'KANKARBAGH PATNA' not found,Upload store master first or correct store name
837,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
838,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
839,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
840,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
841,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
842,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
843,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
844,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
845,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
846,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
847,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
848,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
849,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
850,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
851,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
852,store_name,LINDSAY STREET KOLKATA,Store 'LINDSAY STREET KOLKATA' not found,Upload store master first or correct store name
