buyer_name,vendor_name,sku_code,category,fabric,TOP COLOUR,colour,colour_family,mrp,story,sub_story,SUB STORY 2,store_group_rule,style_risk_group,size,total_buy_qty,ecom_reserved_qty,ars_reserved_qty,expected_first_allocation_qty
David,Design world,EWS6CD23007A,Salwar Suit,Linen,Mustard,MUSTARD,YELLOW,6998,(blank),(blank),(blank),All Stores,No Group,S,42,3,14,25
David,Design world,EWS6CD23007A,Salwar Suit,Linen,Mustard,MUSTARD,YELLOW,6998,(blank),(blank),(blank),All Stores,No Group,M,63,5,20,38
David,Design world,EWS6CD23007A,Salwar Suit,Linen,Mustard,MUSTARD,YELLOW,6998,(blank),(blank),(blank),All Stores,No Group,L,63,5,20,38
David,Design world,EWS6CD23007A,Salwar Suit,Linen,Mustard,MUSTARD,YELLOW,6998,(blank),(blank),(blank),All Stores,No Group,XL,42,3,14,25
David,Design world,EWS6CD23007A,Salwar Suit,Linen,Mustard,MUSTARD,YELLOW,6998,(blank),(blank),(blank),All Stores,No Group,2XL,21,2,7,12
David,Design world,EWS6CD23007A,Salwar Suit,Linen,Mustard,MUSTARD,YELLOW,6998,(blank),(blank),(blank),All Stores,No Group,S/M,0,0,0,0
David,Design world,EWS6CD23007A,Salwar Suit,Linen,Mustard,MUSTARD,YELLOW,6998,(blank),(blank),(blank),All Stores,No Group,L/XL,0,0,0,0
David,Design world,EWS6CD23008A,Salwar Suit,Linen,Powder Blue,POWDER BLUE,BLUE,6998,(blank),(blank),(blank),All Stores,No Group,XS,21,2,7,12
David,Design world,EWS6CD23008A,Salwar Suit,Linen,Powder Blue,POWDER BLUE,BLUE,6998,(blank),(blank),(blank),All Stores,No Group,S,42,3,14,25
David,Design world,EWS6CD23008A,Salwar Suit,Linen,Powder Blue,POWDER BLUE,BLUE,6998,(blank),(blank),(blank),All Stores,No Group,M,63,5,20,38
David,Design world,EWS6CD23008A,Salwar Suit,Linen,Powder Blue,POWDER BLUE,BLUE,6998,(blank),(blank),(blank),All Stores,No Group,L,63,5,20,38
David,Design world,EWS6CD23008A,Salwar Suit,Linen,Powder Blue,POWDER BLUE,BLUE,6998,(blank),(blank),(blank),All Stores,No Group,XL,42,3,14,25
David,Design world,EWS6CD23008A,Salwar Suit,Linen,Powder Blue,POWDER BLUE,BLUE,6998,(blank),(blank),(blank),All Stores,No Group,2XL,21,2,7,12
David,Design world,EWS6CD23008A,Salwar Suit,Linen,Powder Blue,POWDER BLUE,BLUE,6998,(blank),(blank),(blank),All Stores,No Group,S/M,0,0,0,0
David,Design world,EWS6CD23008A,Salwar Suit,Linen,Powder Blue,POWDER BLUE,BLUE,6998,(blank),(blank),(blank),All Stores,No Group,L/XL,0,0,0,0
David,Design world,EWS6CD23009A,Salwar Suit,Linen,Beige,BEIGE,NEUTRAL,6998,(blank),(blank),(blank),All Stores,No Group,XS,21,2,7,12
David,Design world,EWS6CD23009A,Salwar Suit,Linen,Beige,BEIGE,NEUTRAL,6998,(blank),(blank),(blank),All Stores,No Group,S,42,3,14,25
David,Design world,EWS6CD23009A,Salwar Suit,Linen,Beige,BEIGE,NEUTRAL,6998,(blank),(blank),(blank),All Stores,No Group,M,63,5,20,38
David,Design world,EWS6CD23009A,Salwar Suit,Linen,Beige,BEIGE,NEUTRAL,6998,(blank),(blank),(blank),All Stores,No Group,L,63,5,20,38
David,Design world,EWS6CD23009A,Salwar Suit,Linen,Beige,BEIGE,NEUTRAL,6998,(blank),(blank),(blank),All Stores,No Group,XL,42,3,14,25
David,Design world,EWS6CD23009A,Salwar Suit,Linen,Beige,BEIGE,NEUTRAL,6998,(blank),(blank),(blank),All Stores,No Group,2XL,21,2,7,12
David,Design world,EWS6CD23009A,Salwar Suit,Linen,Beige,BEIGE,NEUTRAL,6998,(blank),(blank),(blank),All Stores,No Group,S/M,0,0,0,0
David,Design world,EWS6CD23009A,Salwar Suit,Linen,Beige,BEIGE,NEUTRAL,6998,(blank),(blank),(blank),All Stores,No Group,L/XL,0,0,0,0
David,Design world,EWS6CD23010A,Salwar Suit,Linen,Sap Green,SAP GREEN,GREEN,6998,(blank),(blank),(blank),All Stores,No Group,XS,21,2,7,12
David,Design world,EWS6CD23010A,Salwar Suit,Linen,Sap Green,SAP GREEN,GREEN,6998,(blank),(blank),(blank),All Stores,No Group,S,42,3,14,25
David,Design world,EWS6CD23010A,Salwar Suit,Linen,Sap Green,SAP GREEN,GREEN,6998,(blank),(blank),(blank),All Stores,No Group,M,63,5,20,38
David,Design world,EWS6CD23010A,Salwar Suit,Linen,Sap Green,SAP GREEN,GREEN,6998,(blank),(blank),(blank),All Stores,No Group,L,63,5,20,38
